上证50 (000016) on 06-17 17:05:51, price= 3000.03, ratio= -1.57%,amount=941910.56 
湖北金环(000615) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
海航投资(000616) on 07-13 22:17:49, price= 9.21, ratio=  0.33%,amount=82743.34 
石油济柴(000617) on 07-13 22:17:49, price=11.01, ratio=  4.86%,amount=17053.60 
海螺型材(000619) on 07-13 22:17:49, price=10.25, ratio=  0.00%,amount=18003.44 
新华联  (000620) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
恒立实业(000622) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
吉林敖东(000623) on 07-13 22:17:49, price=32.52, ratio=  4.80%,amount=214643.15 
长安汽车(000625) on 07-13 22:17:49, price=20.78, ratio=  9.31%,amount=381343.62 
如意集团(000626) on 07-13 22:17:49, price=56.38, ratio= 10.01%,amount=91552.80 
天茂集团(000627) on 07-13 22:17:49, price= 7.41, ratio=  0.00%,amount=2205.13 
高新发展(000628) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
攀钢钒钛(000629) on 07-13 22:17:49, price= 4.33, ratio=  1.88%,amount=139901.38 
铜陵有色(000630) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
顺发恒业(000631) on 07-13 22:17:49, price= 9.16, ratio=  4.81%,amount=69696.14 
三木集团(000632) on 07-13 22:17:49, price= 7.02, ratio=  0.00%,amount=288.38 
合金投资(000633) on 07-13 22:17:49, price=11.30, ratio=  0.00%,amount=10628.46 
英力特  (000635) on 07-13 22:17:49, price=10.99, ratio=  0.00%,amount=18702.06 
风华高科(000636) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
茂化实华(000637) on 07-13 22:17:49, price= 9.98, ratio=  6.06%,amount=49689.64 
万方发展(000638) on 07-13 22:17:49, price=12.79, ratio=  0.00%,amount=2522.70 
西王食品(000639) on 07-13 22:17:49, price=17.14, ratio=  5.22%,amount=36855.03 
仁和药业(000650) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
格力电器(000651) on 07-13 22:17:49, price=26.14, ratio=  4.56%,amount=672321.18 
泰达股份(000652) on 07-13 22:17:49, price= 7.67, ratio=  3.65%,amount=52836.80 
金岭矿业(000655) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金科股份(000656) on 07-13 22:17:49, price= 7.34, ratio=  1.94%,amount=148544.38 
中钨高新(000657) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST中富 (000659) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
长春高新(000661) on 07-13 22:17:49, price=138.81, ratio=  2.07%,amount=90200.41 
索芙特  (000662) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
永安林业(000663) on 07-13 22:17:49, price=12.41, ratio=  0.00%,amount=13137.09 
湖北广电(000665) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
经纬纺机(000666) on 07-13 22:17:49, price=14.15, ratio=  0.00%,amount=49468.82 
美好集团(000667) on 07-13 22:17:49, price= 4.72, ratio=  0.00%,amount=4680.58 
荣丰控股(000668) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
金鸿能源(000669) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
盈方微  (000670) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
阳光城  (000671) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
上峰水泥(000672) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
当代东方(000673) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
智度投资(000676) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST海龙 (000677) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
襄阳轴承(000678) on 07-13 22:17:49, price= 7.83, ratio=  0.64%,amount=16062.88 
大连友谊(000679) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
山推股份(000680) on 07-13 22:17:49, price= 6.94, ratio=  3.74%,amount=42913.40 
视觉中国(000681) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东方电子(000682) on 07-13 22:17:49, price= 5.94, ratio=  0.17%,amount=32455.81 
远兴能源(000683) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中山公用(000685) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
东北证券(000686) on 07-13 22:17:49, price=18.84, ratio=  4.61%,amount=229099.92 
恒天天鹅(000687) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
建新矿业(000688) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
宝新能源(000690) on 07-13 22:17:49, price=12.29, ratio=  2.50%,amount=126782.96 
亚太实业(000691) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
惠天热电(000692) on 07-13 22:17:49, price= 6.96, ratio=  0.00%,amount=699.27 
华泽钴镍(000693) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
滨海能源(000695) on 07-13 22:17:49, price=18.72, ratio=  9.92%,amount=43470.64 
炼石有色(000697) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
沈阳化工(000698) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
模塑科技(000700) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
厦门信达(000701) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
正虹科技(000702) on 07-13 22:17:49, price= 8.86, ratio=  3.50%,amount=18702.64 
恒逸石化(000703) on 07-13 22:17:49, price=12.01, ratio=  3.98%,amount=33061.92 
浙江震元(000705) on 07-13 22:17:49, price=11.75, ratio=  1.29%,amount=34825.35 
双环科技(000707) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
大冶特钢(000708) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
河北钢铁(000709) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
天兴仪表(000710) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
*ST京蓝 (000711) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
锦龙股份(000712) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
丰乐种业(000713) on 07-13 22:17:49, price=10.49, ratio=  1.84%,amount=22394.81 
中兴商业(000715) on 07-13 22:17:49, price=14.98, ratio= 10.96%,amount=40086.93 
黑芝麻  (000716) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
韶钢松山(000717) on 07-13 22:17:49, price= 5.32, ratio=  6.40%,amount=59526.60 
苏宁环球(000718) on 07-13 22:17:49, price=12.08, ratio=  0.00%,amount=3985.55 
大地传媒(000719) on 07-13 22:17:49, price=24.15, ratio=  6.48%,amount=27156.27 
新能泰山(000720) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
西安饮食(000721) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
湖南发展(000722) on 07-13 22:17:49, price=16.07, ratio=  1.77%,amount=44993.75 
美锦能源(000723) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
京东方Ａ(000725) on 07-13 22:17:49, price= 4.00, ratio=  0.00%,amount=66971.86 
鲁泰Ａ  (000726) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
华东科技(000727) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
国元证券(000728) on 07-13 22:17:49, price=27.93, ratio=  8.26%,amount=330845.70 
燕京啤酒(000729) on 07-13 22:17:49, price= 9.43, ratio=  6.31%,amount=92385.35 
四川美丰(000731) on 07-13 22:17:49, price= 9.47, ratio=  3.84%,amount=62850.86 
泰禾集团(000732) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
振华科技(000733) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
罗牛山  (000735) on 07-13 22:17:49, price= 7.47, ratio=  3.89%,amount=53601.59 
中房地产(000736) on 07-13 22:17:49, price=10.99, ratio=  4.17%,amount=8540.63 
南风化工(000737) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
中航动控(000738) on 07-13 22:17:49, price=23.45, ratio=  0.00%,amount=81514.77 
普洛药业(000739) on 07-13 22:17:49, price= 8.83, ratio=  4.50%,amount=46835.38 
长城信息(000748) on 07-13 22:17:49, price= 0.00, ratio=  0.00%,amount= 0.00 
国海证券(000750) on 07-13 22:17:49, price=15.98, ratio=  4.44%,amount=287086.12 
锌业股份(000751) on 07-13 22:17:49, price= 7.70, ratio= 10.00%,amount=123194.97 
西藏发展(000752) on 07-13 22:17:49, price=13.75, ratio=  1.48%,amount=31173.74 
漳州发展(000753) on 07-13 22:17:49, price= 5.29, ratio=  0.00%,amount=2457.59 
